시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
강원특별자치도,삼척시,강원특별자치도 삼척시 수로부인길453,쏠비치호텔리조트,상업시설,숙박시설,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.47236,129.164748"
강원특별자치도,속초시,강원특별자치도 속초시 노학동 298-2,SK 척산주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"38.191348,128.559388"
강원특별자치도,태백시,강원특별자치도 태백시 강원남부로 302,GS연화주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.170284,129.021718"
강원특별자치도,원주시,강원특별자치도 원주시 반곡동 2049-4,국립공원관리공단 본부,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.3244333,127.9765385"
강원특별자치도,원주시,강원특별자치도 원주시 반곡동 2049-4,국립공원관리공단 본부,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.3244333,127.9765385"
강원특별자치도,인제군,강원특별자치도 인제군 북면 한계리 산1-59,설악산국립공원 장수대분소,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"38.1085599,128.3727808"
강원특별자치도,인제군,강원특별자치도 인제군 북면 한계리 산1-59,설악산국립공원 장수대분소,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"38.1085599,128.3727808"
강원특별자치도,평창군,강원특별자치도 평창군 진부면 간평리 75-6,오대산국립공원사무소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.702654,128.60211"
강원특별자치도,평창군,강원특별자치도 평창군 진부면 간평리 75-6,오대산국립공원사무소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.702654,128.60211"
강원특별자치도,원주시,강원특별자치도 원주시 판부면 금대리 1343？ ,치악산국립공원사무소 금대분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.2928318,128.0177342"
강원특별자치도,원주시,강원특별자치도 원주시 판부면 금대리 1343？ ,치악산국립공원사무소 금대분소,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.2928318,128.0177342"
